購買ID,会員ID,購入年月日,購入品目,購入数量,購入金額
P0000549,M000092,2025-11-04,菓子,4,1208
P0000550,M000092,2025-09-20,米・穀物,1,2369
P0000551,M000092,2026-04-06,鮮魚,4,7668
P0000552,M000093,2026-04-18,果物,1,815
P0000553,M000093,2025-08-26,野菜,3,1707
P0000554,M000093,2026-05-22,果物,3,2718
P0000555,M000093,2025-08-09,米・穀物,5,17665
P0000556,M000093,2025-09-25,精肉,2,2870
P0000557,M000093,2025-07-30,調味料,3,1290
P0000558,M000093,2026-01-08,有機食品セット,3,8343
P0000559,M000094,2025-09-14,野菜,1,340
P0000560,M000094,2025-11-06,米・穀物,2,6156
P0000561,M000094,2026-05-05,飲料,3,558
P0000562,M000094,2026-05-20,鮮魚,5,5100
P0000563,M000094,2025-12-30,鮮魚,3,4863
P0000564,M000094,2026-03-13,米・穀物,3,7959
P0000565,M000094,2025-12-02,野菜,5,2400
P0000566,M000094,2025-07-10,精肉,3,3192
P0000567,M000094,2026-04-12,米・穀物,3,8730
P0000568,M000094,2025-12-26,有機食品セット,3,11805
P0000569,M000094,2026-06-22,精肉,1,980
P0000570,M000095,2026-04-20,野菜,3,2361
P0000571,M000095,2025-08-19,米・穀物,3,7413
P0000572,M000095,2026-03-07,米・穀物,3,10566
P0000573,M000095,2025-10-16,有機食品セット,1,5068
P0000574,M000095,2026-04-28,飲料,2,1178
P0000575,M000096,2026-02-21,菓子,5,1670
P0000576,M000096,2025-07-21,有機食品セット,1,3943
P0000577,M000096,2026-02-01,鮮魚,1,1545
P0000578,M000096,2026-04-23,野菜,2,1348
P0000579,M000096,2026-03-30,調味料,4,1200
P0000580,M000097,2025-11-18,米・穀物,2,4954
P0000581,M000098,2025-07-15,菓子,1,736
P0000582,M000098,2026-01-29,菓子,4,1680
P0000583,M000098,2025-07-17,野菜,4,2688
P0000584,M000098,2025-07-09,果物,3,2658
P0000585,M000098,2026-02-24,米・穀物,4,12796
P0000586,M000099,2026-03-05,果物,2,1954
P0000587,M000099,2026-04-19,菓子,5,2720
P0000588,M000099,2026-02-19,有機食品セット,1,3017
P0000589,M000099,2025-10-27,惣菜,3,1521
P0000590,M000099,2026-02-06,惣菜,1,260
P0000591,M000099,2025-12-19,精肉,3,4473
P0000592,M000100,2026-01-03,調味料,2,1076
P0000593,M000100,2025-07-29,有機食品セット,4,12944
P0000594,M000100,2025-07-26,精肉,2,1998
P0000595,M000100,2026-05-17,鮮魚,4,7932
P0000596,M000100,2025-11-27,調味料,3,1158
P0000597,M000101,2026-06-14,有機食品セット,5,24460
P0000598,M000101,2026-02-19,果物,2,2034
P0000599,M000101,2025-11-20,果物,4,4632
P0000600,M000101,2026-01-24,米・穀物,4,10732
P0000601,M000101,2026-02-01,米・穀物,4,9436
P0000602,M000101,2025-07-28,米・穀物,3,8916
P0000603,M000101,2025-11-03,調味料,4,1740
P0000604,M000101,2025-08-13,飲料,5,1700
P0000605,M000102,2025-10-12,菓子,3,2103
P0000606,M000102,2025-11-26,野菜,4,2832
P0000607,M000102,2025-11-09,飲料,4,1440
P0000608,M000102,2025-11-23,精肉,5,5530
P0000609,M000102,2025-11-05,飲料,1,495
P0000610,M000103,2026-04-25,調味料,4,1676
P0000611,M000103,2026-02-18,果物,2,2166
P0000612,M000103,2025-07-15,果物,5,4145
P0000613,M000103,2025-07-20,果物,4,3268
P0000614,M000103,2025-11-15,菓子,3,1746
P0000615,M000103,2025-07-25,精肉,3,4425
P0000616,M000103,2025-07-13,飲料,5,2880
P0000617,M000104,2025-09-25,野菜,5,2745
P0000618,M000104,2026-01-26,惣菜,5,2940
P0000619,M000104,2025-12-10,菓子,5,2215
P0000620,M000104,2026-06-27,惣菜,5,2670
P0000621,M000104,2025-07-31,菓子,4,1956
P0000622,M000104,2026-03-19,調味料,1,408
P0000623,M000104,2026-01-28,野菜,3,1680
P0000624,M000105,2025-08-10,精肉,5,8940
P0000625,M000105,2026-02-02,有機食品セット,4,13436
P0000626,M000105,2026-03-05,菓子,3,2307
P0000627,M000105,2026-02-10,飲料,2,592
P0000628,M000105,2025-07-31,米・穀物,5,17080
P0000629,M000106,2026-06-26,飲料,5,2455
P0000630,M000106,2026-05-14,惣菜,4,2936
P0000631,M000106,2026-06-22,有機食品セット,4,12360
P0000632,M000106,2025-12-05,野菜,1,595
P0000633,M000106,2025-12-08,菓子,4,2452
P0000634,M000106,2026-05-27,菓子,2,1034
P0000635,M000107,2025-10-12,米・穀物,2,6200
P0000636,M000107,2025-09-28,米・穀物,5,13280
P0000637,M000107,2026-01-01,精肉,5,8810
P0000638,M000107,2025-08-04,飲料,1,507
P0000639,M000107,2025-11-17,果物,5,3600
P0000640,M000107,2026-01-28,野菜,2,1198
P0000641,M000107,2025-11-30,果物,4,3792
P0000642,M000107,2025-11-12,調味料,4,2076
P0000643,M000107,2025-08-26,菓子,5,2110
P0000644,M000107,2026-06-19,果物,4,3524
P0000645,M000107,2026-02-18,精肉,2,4178
P0000646,M000107,2026-02-24,菓子,4,1648
P0000647,M000108,2025-11-30,菓子,5,3665
P0000648,M000108,2026-01-18,鮮魚,5,8885
P0000649,M000108,2026-03-15,果物,1,677
P0000650,M000108,2026-04-09,米・穀物,1,1655
P0000651,M000108,2025-12-19,飲料,1,283
P0000652,M000108,2025-12-21,惣菜,2,1108
P0000653,M000108,2026-04-19,米・穀物,4,8304
P0000654,M000108,2025-11-11,野菜,5,2430
P0000655,M000108,2026-06-18,米・穀物,5,10475
P0000656,M000108,2025-10-14,飲料,1,480
P0000657,M000108,2026-04-20,鮮魚,3,4896
P0000658,M000108,2025-12-25,野菜,2,766
P0000659,M000109,2025-11-28,菓子,3,1611
P0000660,M000109,2025-07-04,調味料,1,402
P0000661,M000109,2025-10-03,有機食品セット,3,11418
P0000662,M000109,2026-05-19,果物,2,1426
P0000663,M000109,2025-10-30,野菜,1,638
P0000664,M000109,2025-12-20,果物,5,4100
P0000665,M000109,2026-06-02,調味料,2,1146
P0000666,M000110,2026-01-02,米・穀物,5,15885
P0000667,M000110,2026-05-21,精肉,3,3687
P0000668,M000110,2025-07-17,精肉,1,1671
P0000669,M000110,2025-12-27,飲料,5,2530
P0000670,M000110,2025-10-17,野菜,3,1926
P0000671,M000110,2026-04-03,果物,4,3096
P0000672,M000110,2025-10-27,菓子,3,1803
P0000673,M000110,2025-08-26,野菜,3,1263
P0000674,M000111,2025-09-20,米・穀物,3,5478
P0000675,M000111,2025-07-09,米・穀物,3,7335
P0000676,M000111,2025-07-09,米・穀物,5,10335
P0000677,M000111,2026-04-08,調味料,1,531
P0000678,M000111,2025-11-04,鮮魚,2,3554
P0000679,M000111,2025-12-10,果物,2,1968
P0000680,M000112,2025-07-15,米・穀物,3,7425
P0000681,M000112,2026-01-11,惣菜,4,3604
P0000682,M000112,2025-10-18,有機食品セット,4,14624
P0000683,M000112,2025-08-16,鮮魚,4,7196
P0000684,M000112,2026-03-03,惣菜,5,3710
P0000685,M000112,2025-09-22,菓子,4,2936
P0000686,M000112,2025-09-24,飲料,5,2270
P0000687,M000112,2025-07-25,惣菜,1,648
P0000688,M000112,2025-09-17,鮮魚,3,5115
P0000689,M000113,2025-10-20,米・穀物,2,6642
P0000690,M000113,2025-09-17,鮮魚,1,1950
P0000691,M000113,2025-09-30,惣菜,5,3965
P0000692,M000113,2025-11-26,精肉,4,5752
P0000693,M000114,2025-12-14,惣菜,1,506
P0000694,M000114,2025-08-18,鮮魚,4,7624
P0000695,M000114,2025-10-11,飲料,4,1888
P0000696,M000114,2026-06-21,惣菜,4,2356
P0000697,M000114,2026-02-15,野菜,2,1048
P0000698,M000114,2026-05-22,惣菜,5,2160
P0000699,M000115,2025-08-11,飲料,5,2880
P0000700,M000115,2026-06-13,鮮魚,1,1657
P0000701,M000115,2026-01-06,惣菜,4,2480
P0000702,M000115,2026-06-08,飲料,4,1776
P0000703,M000115,2026-02-11,米・穀物,1,2334
P0000704,M000115,2026-05-17,有機食品セット,2,10058
P0000705,M000115,2026-03-09,調味料,1,566
P0000706,M000115,2025-07-12,惣菜,3,1899
P0000707,M000116,2025-08-22,菓子,3,1992
P0000708,M000116,2025-08-02,有機食品セット,5,17715
P0000709,M000116,2026-05-25,鮮魚,5,7725
P0000710,M000116,2026-02-03,飲料,4,1536
P0000711,M000116,2025-09-28,精肉,4,4620
P0000712,M000116,2025-08-27,米・穀物,5,12185
P0000713,M000116,2025-10-26,菓子,4,1116
P0000714,M000116,2025-12-10,野菜,4,3028
P0000715,M000117,2026-06-07,惣菜,1,872
P0000716,M000117,2025-12-27,調味料,4,2096
P0000717,M000117,2026-05-17,菓子,4,2024
P0000718,M000117,2025-11-17,菓子,4,896
P0000719,M000117,2025-07-18,菓子,4,1732
P0000720,M000118,2026-02-23,飲料,4,1148
P0000721,M000118,2026-03-25,米・穀物,5,13730
P0000722,M000118,2026-01-12,野菜,2,590
P0000723,M000118,2025-08-13,果物,5,5060
P0000724,M000118,2025-09-20,果物,4,3496
P0000725,M000118,2025-08-13,鮮魚,4,4996
P0000726,M000118,2025-09-11,調味料,5,2150
P0000727,M000118,2025-09-20,有機食品セット,1,4195
P0000728,M000119,2025-10-19,菓子,1,553
P0000729,M000119,2026-04-02,飲料,3,1296
P0000730,M000119,2025-10-16,果物,4,3932
P0000731,M000119,2025-07-12,米・穀物,4,11912
P0000732,M000119,2025-08-07,米・穀物,4,13732
P0000733,M000119,2025-12-26,菓子,2,1442
P0000734,M000119,2025-07-14,調味料,1,406
P0000735,M000120,2026-01-06,有機食品セット,2,8992
P0000736,M000120,2026-06-27,有機食品セット,5,24230
P0000737,M000120,2026-06-26,菓子,2,856
P0000738,M000120,2025-11-14,飲料,4,1396
P0000739,M000121,2025-10-27,野菜,4,1956
P0000740,M000121,2026-03-21,精肉,5,5680
P0000741,M000121,2026-06-16,惣菜,2,1388
P0000742,M000121,2026-04-28,果物,4,4820
P0000743,M000121,2026-05-04,飲料,1,290
P0000744,M000122,2026-02-16,飲料,1,296
P0000745,M000122,2025-12-09,米・穀物,4,10980
P0000746,M000122,2025-11-08,米・穀物,3,5967
P0000747,M000122,2026-04-27,米・穀物,3,4617
P0000748,M000123,2026-06-20,精肉,3,3600
P0000749,M000123,2026-04-25,米・穀物,3,6582
P0000750,M000123,2025-10-02,飲料,3,1635
P0000751,M000123,2025-12-04,果物,4,4016
P0000752,M000123,2025-07-16,精肉,3,4473
P0000753,M000123,2025-07-12,飲料,3,1212
P0000754,M000124,2025-11-21,野菜,4,1908
P0000755,M000124,2025-09-26,飲料,5,2085
P0000756,M000125,2026-01-12,飲料,2,658
P0000757,M000125,2025-10-25,菓子,2,1258
P0000758,M000125,2026-03-14,果物,3,1167
P0000759,M000125,2026-03-21,飲料,1,402
P0000760,M000125,2025-09-27,惣菜,4,2948
P0000761,M000125,2026-02-27,惣菜,3,1446
P0000762,M000125,2025-12-22,米・穀物,1,2342
P0000763,M000125,2025-09-14,鮮魚,1,1503
P0000764,M000126,2025-12-25,野菜,1,477
P0000765,M000126,2025-09-22,鮮魚,5,9425
P0000766,M000126,2026-06-29,飲料,5,2240
P0000767,M000126,2026-03-03,米・穀物,3,6516
P0000768,M000126,2025-12-13,飲料,5,2480
P0000769,M000127,2025-07-07,有機食品セット,1,3987
P0000770,M000127,2025-07-22,鮮魚,4,4400
P0000771,M000127,2025-07-13,鮮魚,2,3212
P0000772,M000127,2025-10-24,飲料,3,1236
P0000773,M000127,2025-12-02,果物,5,5255
P0000774,M000127,2025-12-16,野菜,5,3765
P0000775,M000128,2025-08-15,調味料,5,2350
P0000776,M000128,2026-04-17,果物,4,3408
P0000777,M000128,2026-02-08,果物,5,4350
P0000778,M000128,2025-09-27,惣菜,5,3595
P0000779,M000128,2025-07-02,鮮魚,3,4347
P0000780,M000129,2025-10-23,有機食品セット,1,4052
P0000781,M000129,2025-10-12,惣菜,1,764
P0000782,M000129,2026-06-13,米・穀物,2,6220
P0000783,M000129,2025-08-14,調味料,4,1864
P0000784,M000129,2026-01-10,野菜,2,440
P0000785,M000129,2026-06-21,果物,1,994
P0000786,M000129,2026-01-07,菓子,3,1107
P0000787,M000129,2025-08-11,調味料,3,1509
P0000788,M000130,2025-08-11,精肉,3,4242
P0000789,M000130,2025-08-02,有機食品セット,4,16876
P0000790,M000130,2025-12-06,果物,1,780
P0000791,M000130,2025-10-07,菓子,4,1204
P0000792,M000130,2025-09-06,菓子,5,3030
P0000793,M000130,2025-08-13,野菜,5,2205
P0000794,M000130,2026-06-25,米・穀物,2,5304
P0000795,M000130,2026-03-01,精肉,4,5704
P0000796,M000130,2025-10-07,惣菜,5,2910
P0000797,M000131,2026-04-13,調味料,2,722
P0000798,M000131,2026-05-01,米・穀物,2,4076
P0000799,M000131,2026-05-23,果物,5,4745
P0000800,M000131,2026-01-05,米・穀物,1,1587
P0000801,M000131,2025-10-19,果物,1,672
P0000802,M000131,2026-01-06,菓子,1,696
P0000803,M000131,2026-02-05,有機食品セット,5,23770
P0000804,M000132,2026-03-07,菓子,1,745
P0000805,M000132,2025-10-04,飲料,5,2245
P0000806,M000132,2025-08-15,果物,4,2696
P0000807,M000132,2025-11-11,飲料,3,1542
P0000808,M000132,2026-04-25,菓子,5,3305
P0000809,M000132,2025-07-28,有機食品セット,2,7774
P0000810,M000133,2025-12-21,惣菜,5,4320
P0000811,M000133,2025-09-16,精肉,2,3164
P0000812,M000133,2026-01-28,惣菜,1,744
P0000813,M000133,2025-07-26,調味料,2,1260
P0000814,M000133,2026-03-17,菓子,2,1240
P0000815,M000134,2026-01-24,米・穀物,3,10608
P0000816,M000134,2025-07-31,野菜,4,1732
P0000817,M000134,2026-04-26,調味料,4,1852
P0000818,M000134,2026-01-21,米・穀物,2,6186
P0000819,M000134,2025-10-05,果物,3,2337
P0000820,M000135,2025-12-27,果物,1,839
P0000821,M000135,2025-12-18,有機食品セット,3,9429
P0000822,M000135,2025-11-18,精肉,1,1149
P0000823,M000136,2026-04-04,飲料,4,1752
P0000824,M000136,2026-06-02,果物,2,1806
P0000825,M000136,2026-06-28,鮮魚,3,4458
P0000826,M000136,2025-08-14,精肉,5,5330
P0000827,M000136,2026-01-24,米・穀物,3,6678
P0000828,M000136,2026-03-08,鮮魚,4,4820
P0000829,M000136,2026-06-06,野菜,4,1404
P0000830,M000136,2025-09-16,精肉,5,7885
P0000831,M000136,2025-08-12,有機食品セット,3,9714
P0000832,M000137,2025-08-18,惣菜,5,3400
P0000833,M000137,2026-03-22,米・穀物,4,11476
P0000834,M000137,2025-08-21,鮮魚,5,7050
P0000835,M000137,2026-01-11,鮮魚,2,2974
P0000836,M000137,2026-03-07,飲料,1,577
P0000837,M000137,2025-08-30,有機食品セット,1,4493
P0000838,M000137,2025-09-29,精肉,5,7540
P0000839,M000138,2026-06-08,果物,1,1054
P0000840,M000138,2025-10-16,米・穀物,1,2396
P0000841,M000138,2026-06-25,惣菜,4,2868
P0000842,M000138,2025-08-31,精肉,2,3394
P0000843,M000138,2025-10-14,飲料,4,2128
P0000844,M000138,2025-11-18,有機食品セット,4,14960
P0000845,M000138,2026-01-07,惣菜,2,972
P0000846,M000139,2026-06-04,米・穀物,3,9147
P0000847,M000139,2025-09-14,有機食品セット,4,12760
P0000848,M000139,2026-05-10,野菜,1,529
P0000849,M000139,2026-06-13,精肉,3,4713
P0000850,M000139,2026-01-31,精肉,5,7640
P0000851,M000140,2026-01-12,飲料,1,521
P0000852,M000140,2025-11-08,野菜,5,3115
P0000853,M000140,2026-01-01,米・穀物,4,8380
P0000854,M000140,2025-10-05,鮮魚,4,7468
P0000855,M000140,2025-09-01,菓子,5,2860
P0000856,M000140,2026-03-18,鮮魚,2,3570
P0000857,M000140,2026-06-12,惣菜,1,722
P0000858,M000140,2025-12-26,鮮魚,2,3810
P0000859,M000140,2026-01-16,菓子,1,432
P0000860,M000141,2026-04-14,果物,4,3048
P0000861,M000141,2026-05-13,精肉,3,4953
P0000862,M000141,2025-08-20,米・穀物,5,14900
P0000863,M000141,2026-06-18,米・穀物,3,10137
P0000864,M000141,2026-03-16,精肉,2,2994
P0000865,M000141,2026-03-17,調味料,5,2225
P0000866,M000141,2025-12-15,鮮魚,2,3084
P0000867,M000141,2026-06-20,惣菜,1,418
P0000868,M000141,2025-07-30,米・穀物,5,13825
P0000869,M000142,2026-06-12,菓子,4,1416
P0000870,M000142,2026-03-27,米・穀物,3,10422
P0000871,M000142,2026-03-02,野菜,2,918
P0000872,M000142,2025-10-16,野菜,1,481
P0000873,M000142,2026-01-16,調味料,5,2105
P0000874,M000142,2026-01-19,鮮魚,3,5535
P0000875,M000143,2025-11-28,野菜,4,2228
P0000876,M000143,2026-04-15,飲料,3,669
P0000877,M000143,2026-03-28,飲料,4,1632
P0000878,M000143,2026-03-13,調味料,1,366
P0000879,M000144,2025-09-17,米・穀物,4,7568
P0000880,M000144,2026-01-02,米・穀物,4,10864
P0000881,M000144,2025-11-21,惣菜,2,1820
P0000882,M000144,2025-07-28,精肉,2,2500
P0000883,M000144,2026-03-03,鮮魚,5,5660
P0000884,M000144,2025-12-02,菓子,1,557
P0000885,M000144,2026-06-29,惣菜,3,2364
P0000886,M000144,2025-08-28,米・穀物,3,9348
P0000887,M000144,2026-06-23,米・穀物,2,6464
P0000888,M000144,2026-01-31,野菜,3,1302
P0000889,M000145,2025-10-07,菓子,1,443
P0000890,M000145,2026-04-10,精肉,3,4275
P0000891,M000145,2025-09-24,菓子,3,1764
P0000892,M000145,2025-10-14,精肉,5,6050
P0000893,M000145,2025-12-27,米・穀物,1,1778
P0000894,M000145,2026-03-31,惣菜,1,700
P0000895,M000145,2026-04-02,果物,1,1165
P0000896,M000146,2025-11-29,菓子,3,1668
P0000897,M000146,2025-08-14,野菜,5,2950
P0000898,M000146,2026-01-25,精肉,1,1302
P0000899,M000146,2026-05-24,有機食品セット,1,4047
P0000900,M000146,2025-12-20,菓子,1,516
P0000901,M000147,2025-11-06,惣菜,2,1188
P0000902,M000147,2026-06-15,惣菜,4,2852
P0000903,M000147,2026-03-16,有機食品セット,2,7444
P0000904,M000147,2026-03-23,菓子,1,659
P0000905,M000147,2026-04-24,飲料,2,1046
P0000906,M000148,2026-06-18,果物,1,772
P0000907,M000148,2025-09-06,精肉,5,8975
P0000908,M000149,2026-04-11,野菜,4,1920
P0000909,M000149,2026-06-02,飲料,1,459
P0000910,M000149,2025-12-18,惣菜,3,2514
P0000911,M000149,2025-12-29,鮮魚,2,2804
P0000912,M000149,2025-11-22,惣菜,5,4305
P0000913,M000149,2026-06-03,野菜,5,2975
P0000914,M000149,2026-01-05,菓子,5,2455
P0000915,M000149,2026-01-03,飲料,3,810
P0000916,M000150,2026-05-30,有機食品セット,4,21216
P0000917,M000150,2025-12-21,鮮魚,3,6663
P0000918,M000150,2026-03-12,菓子,1,603
P0000919,M000150,2026-02-25,米・穀物,5,15915
P0000920,M000150,2025-07-19,有機食品セット,5,15720
P0000921,M000150,2025-07-11,米・穀物,4,9212
P0000922,M000150,2025-08-21,果物,3,2379
P0000923,M000150,2026-04-07,精肉,4,4632
P0000924,M000150,2025-12-11,果物,2,2156
P0000925,M000150,2026-05-20,飲料,3,1041
P0000926,M000151,2026-01-05,有機食品セット,5,18650
P0000927,M000151,2026-04-30,調味料,4,1564
P0000928,M000151,2026-06-01,有機食品セット,3,8631
P0000929,M000151,2026-03-21,有機食品セット,1,3632
P0000930,M000152,2025-11-23,飲料,5,1170
P0000931,M000152,2025-11-28,野菜,1,755
P0000932,M000152,2025-07-11,菓子,1,530
P0000933,M000152,2025-07-31,果物,2,1352
P0000934,M000152,2025-08-30,野菜,5,2960
P0000935,M000152,2025-08-19,鮮魚,4,7056
P0000936,M000152,2026-03-28,惣菜,3,1485
P0000937,M000153,2025-12-10,飲料,5,2105
P0000938,M000153,2025-07-19,鮮魚,4,8168
P0000939,M000153,2026-05-03,鮮魚,4,8884
P0000940,M000153,2025-12-17,鮮魚,5,10670
P0000941,M000153,2026-04-01,野菜,4,1780
P0000942,M000153,2025-09-10,飲料,2,1094
P0000943,M000153,2025-12-18,惣菜,3,2232
P0000944,M000153,2025-11-22,精肉,2,3198
P0000945,M000153,2025-07-03,果物,1,610
P0000946,M000154,2026-03-09,菓子,5,2580
P0000947,M000154,2025-07-02,果物,3,2415
P0000948,M000154,2026-02-24,菓子,2,740
P0000949,M000154,2025-07-19,米・穀物,3,6105
P0000950,M000155,2025-08-21,飲料,5,1820
P0000951,M000155,2026-04-06,菓子,2,1202
P0000952,M000155,2026-06-13,飲料,4,2032
P0000953,M000155,2026-03-10,野菜,5,2045
P0000954,M000155,2026-01-20,飲料,4,2088
P0000955,M000155,2026-04-24,鮮魚,5,6700
P0000956,M000155,2026-04-02,精肉,5,7765
P0000957,M000155,2025-09-18,鮮魚,5,8445
P0000958,M000155,2025-12-20,調味料,2,988
P0000959,M000155,2025-12-31,精肉,1,1445
P0000960,M000156,2025-12-17,調味料,4,2040
P0000961,M000156,2025-11-22,果物,5,4490
P0000962,M000156,2026-06-26,飲料,5,1825
P0000963,M000156,2025-09-18,鮮魚,2,3520
P0000964,M000156,2025-08-23,鮮魚,1,1349
P0000965,M000157,2025-09-21,菓子,3,996
P0000966,M000157,2025-07-27,精肉,5,7715
P0000967,M000157,2026-01-29,米・穀物,3,6807
P0000968,M000157,2026-06-16,野菜,1,330
P0000969,M000157,2026-05-10,米・穀物,4,9080
P0000970,M000157,2025-11-15,菓子,5,2040
P0000971,M000158,2026-01-23,飲料,1,405
P0000972,M000158,2026-02-20,飲料,5,1465
P0000973,M000158,2025-08-02,有機食品セット,1,3477
P0000974,M000158,2025-10-27,飲料,4,2256
P0000975,M000158,2025-08-01,果物,2,1870
P0000976,M000159,2025-07-09,飲料,2,780
P0000977,M000159,2026-02-21,飲料,4,1244
P0000978,M000159,2025-10-12,有機食品セット,4,15748
P0000979,M000159,2025-11-06,菓子,2,1242
P0000980,M000159,2026-06-06,野菜,3,1797
P0000981,M000159,2025-09-18,菓子,1,599
P0000982,M000160,2025-11-24,野菜,4,2368
P0000983,M000160,2025-08-14,惣菜,2,1102
P0000984,M000160,2025-08-12,惣菜,3,1956
P0000985,M000160,2026-03-28,菓子,5,3005
P0000986,M000161,2026-05-21,野菜,2,856
P0000987,M000161,2026-01-04,惣菜,2,1088
P0000988,M000161,2026-01-01,米・穀物,2,3514
P0000989,M000161,2025-07-02,菓子,1,538
P0000990,M000161,2025-08-30,有機食品セット,5,17215
P0000991,M000162,2026-06-11,米・穀物,3,11136
P0000992,M000162,2025-09-07,米・穀物,2,5302
P0000993,M000162,2026-05-30,菓子,5,2130
P0000994,M000162,2026-02-17,飲料,3,1182
P0000995,M000162,2026-03-17,惣菜,2,1918
P0000996,M000162,2026-04-14,果物,5,4180
P0000997,M000162,2026-06-30,米・穀物,2,6170
P0000998,M000163,2026-04-25,菓子,4,2688
P0000999,M000163,2026-01-26,鮮魚,5,10830
P0001000,M000163,2026-03-26,飲料,3,1743
P0001001,M000163,2026-03-26,精肉,5,3600
P0001002,M000163,2026-04-12,鮮魚,2,4364
P0001003,M000163,2025-09-25,菓子,2,836
P0001004,M000163,2026-02-06,野菜,5,2955
P0001005,M000163,2025-12-13,有機食品セット,2,7614
P0001006,M000163,2026-06-21,精肉,2,2732
P0001007,M000164,2026-01-18,果物,5,4385
P0001008,M000164,2025-12-08,果物,3,2304
P0001009,M000165,2026-02-08,飲料,3,1518
P0001010,M000165,2025-12-15,野菜,2,1178
P0001011,M000165,2026-01-19,鮮魚,4,6516
P0001012,M000165,2025-12-07,果物,2,1510
P0001013,M000165,2025-10-26,惣菜,5,2345
P0001014,M000165,2026-04-21,野菜,4,2204
P0001015,M000166,2026-01-24,野菜,1,552
P0001016,M000166,2025-12-01,鮮魚,4,7500
P0001017,M000166,2026-06-05,鮮魚,5,7445
P0001018,M000166,2025-11-05,有機食品セット,1,4144
P0001019,M000166,2026-04-11,菓子,5,2425
P0001020,M000166,2025-08-06,有機食品セット,1,5455
P0001021,M000166,2026-06-02,米・穀物,5,11660
P0001022,M000166,2025-07-30,菓子,3,1587
P0001023,M000167,2025-11-16,果物,5,2215
